,Latitude,Longitude,Depth,Magnitude,Distance,Days-till-eruption
248,19.3632,-155.154,3.01,1.66,15.3595,0.29752511574074075
249,19.3632,-155.154,3.01,1.66,15.3595,0.29752511574074075
250,19.3632,-155.144,4.46,2.01,16.317999999999998,0.2940625
251,19.3632,-155.144,4.46,2.01,16.317999999999998,0.2940625
252,19.3775,-155.1457,4.84,1.53,15.5895,0.2902194444444444
253,19.3775,-155.1457,4.84,1.53,15.5895,0.2902194444444444
254,19.3635,-155.153,3.4,2.5,15.440999999999999,0.2883170138888889
255,19.3635,-155.153,3.4,2.5,15.440999999999999,0.2883170138888889
256,19.3795,-155.14700000000002,2.85,1.7,15.3917,0.28746886574074076
257,19.3795,-155.14700000000002,2.85,1.7,15.3917,0.28746886574074076
258,19.3705,-155.151,3.98,1.3,15.33,0.28458252314814814
259,19.3705,-155.151,3.98,1.3,15.33,0.28458252314814814
260,19.3757,-155.1485,3.42,1.78,15.375,0.2750853009259259
261,19.3757,-155.1485,3.42,1.78,15.375,0.2750853009259259
262,19.3697,-155.1538,3.57,1.75,15.0905,0.2734342592592593
263,19.3697,-155.1538,3.57,1.75,15.0905,0.2734342592592593
264,19.3737,-155.1448,2.56,1.89,15.8149,0.27179756944444444
265,19.3737,-155.1448,2.56,1.89,15.8149,0.27179756944444444
266,19.3678,-155.1435,1.76,1.9,16.172,0.2681851851851852
267,19.3678,-155.1435,1.76,1.9,16.172,0.2681851851851852
268,19.4075,-155.179,0.5,1.77,11.4255,0.2676011574074074
269,19.4075,-155.179,0.5,1.77,11.4255,0.2676011574074074
270,19.3565,-155.1122,2.22,1.61,19.6877,0.26276192129629633
271,19.3565,-155.1122,2.22,1.61,19.6877,0.26276192129629633
272,19.369,-155.1738,3.34,1.58,13.2063,0.24301064814814813
273,19.369,-155.1738,3.34,1.58,13.2063,0.24301064814814813
274,19.3642,-155.1533,1.92,1.7,15.3802,0.2384478009259259
275,19.3642,-155.1533,1.92,1.7,15.3802,0.2384478009259259
276,19.3795,-155.1523,3.23,1.53,14.8623,0.22994583333333332
277,19.3795,-155.1523,3.23,1.53,14.8623,0.22994583333333332
278,19.379,-155.0907,2.39,2.54,21.1115,0.20435983796296295
279,19.379,-155.0907,2.39,2.54,21.1115,0.20435983796296295
280,19.3765,-155.16899999999998,3.55,1.59,13.3289,0.19796122685185183
281,19.3765,-155.16899999999998,3.55,1.59,13.3289,0.19796122685185183
282,19.3747,-155.143,2.9,1.58,15.9568,0.19588391203703703
283,19.3747,-155.143,2.9,1.58,15.9568,0.19588391203703703
284,19.3908,-155.1287,3.58,1.82,16.9386,0.1956337962962963
285,19.3908,-155.1287,3.58,1.82,16.9386,0.1956337962962963
286,19.3738,-155.1135,2.08,2.62,18.9392,0.19037824074074075
287,19.3738,-155.1135,2.08,2.62,18.9392,0.19037824074074075
288,19.3775,-155.0903,1.48,1.12,21.19,0.18813263888888887
289,19.3775,-155.0903,1.48,1.12,21.19,0.18813263888888887
290,19.378,-155.1442,2.67,1.51,15.7221,0.17967083333333334
291,19.378,-155.1442,2.67,1.51,15.7221,0.17967083333333334
292,19.3088,-155.116,3.35,1.66,21.8507,0.17591180555555555
