,Latitude,Longitude,Depth,Magnitude,Distance,Is-erupting,Is-erupting-tomorrow,Is-erupting-next-week
197,19.3702,-155.16,3.52,1.35,14.4688,False,True,True
198,19.3665,-155.1597,1.58,1.07,14.6631,False,True,True
199,19.3665,-155.1597,1.58,1.07,14.6631,False,True,True
200,19.3695,-155.1555,3.7,1.5,14.9341,False,True,True
201,19.3695,-155.1555,3.7,1.5,14.9341,False,True,True
202,19.3658,-155.1752,4.11,0.9,13.2357,False,True,True
203,19.3658,-155.1752,4.11,0.9,13.2357,False,True,True
204,19.3802,-155.1703,2.94,1.14,13.0536,False,True,True
205,19.3802,-155.1703,2.94,1.14,13.0536,False,True,True
206,19.372,-155.171,3.11,1.49,13.3311,False,True,True
207,19.372,-155.171,3.11,1.49,13.3311,False,True,True
208,19.3388,-155.1597,2.87,0.89,16.1819,False,True,True
209,19.3388,-155.1597,2.87,0.89,16.1819,False,True,True
210,19.3773,-155.1678,3.08,1.16,13.4133,False,True,True
211,19.3773,-155.1678,3.08,1.16,13.4133,False,True,True
212,19.3702,-155.1567,3.49,1.52,14.788,False,True,True
213,19.3702,-155.1567,3.49,1.52,14.788,False,True,True
214,19.3683,-155.1638,3.24,0.89,14.1887,False,True,True
215,19.3683,-155.1638,3.24,0.89,14.1887,False,True,True
216,19.372,-155.154,3.23,1.55,14.9761,False,True,True
217,19.372,-155.154,3.23,1.55,14.9761,False,True,True
218,19.3752,-155.1413,2.81,1.12,16.1079,False,True,True
219,19.3752,-155.1413,2.81,1.12,16.1079,False,True,True
220,19.3663,-155.1623,3.48,1.34,14.4246,False,True,True
221,19.3663,-155.1623,3.48,1.34,14.4246,False,True,True
222,19.3802,-155.1453,2.45,1.51,15.5389,False,True,True
223,19.3802,-155.1453,2.45,1.51,15.5389,False,True,True
224,19.3743,-155.1408,2.77,2.82,16.1896,False,True,True
225,19.3743,-155.1408,2.77,2.82,16.1896,False,True,True
226,19.3762,-155.1397,3.04,1.51,16.2327,False,True,True
227,19.3762,-155.1397,3.04,1.51,16.2327,False,True,True
228,19.3765,-155.1418,3.33,1.82,16.0129,False,True,True
229,19.3765,-155.1418,3.33,1.82,16.0129,False,True,True
230,19.3747,-155.1447,2.88,0.63,15.7881,False,True,True
231,19.3747,-155.1447,2.88,0.63,15.7881,False,True,True
232,19.3745,-155.1413,2.78,1.95,16.1327,False,True,True
233,19.3745,-155.1413,2.78,1.95,16.1327,False,True,True
234,19.379,-155.153,3.92,1.65,14.81,False,True,True
235,19.379,-155.153,3.92,1.65,14.81,False,True,True
236,19.3752,-155.1443,3.44,1.91,15.8097,False,True,True
237,19.3752,-155.1443,3.44,1.91,15.8097,False,True,True
238,19.37,-155.1548,4.09,1.74,14.9808,False,True,True
239,19.37,-155.1548,4.09,1.74,14.9808,False,True,True
240,19.3697,-155.1593,2.67,1.65,14.5581,False,True,True
241,19.3697,-155.1593,2.67,1.65,14.5581,False,True,True
242,19.362000000000002,-155.1423,2.53,1.88,16.5346,False,True,True
243,19.362000000000002,-155.1423,2.53,1.88,16.5346,False,True,True
244,19.3693,-155.143,3.27,1.75,16.1607,False,True,True
245,19.3693,-155.143,3.27,1.75,16.1607,False,True,True
246,19.3668,-155.138,0.52,1.47,16.75,False,True,True
